38	50	U22376	X59417	U05259	M92287	M31211	X74262	D26156	S50223	M31523	L47738	U32944	Z15115	X13949	X63469	M91432	U29175	Z69881	U20998	D38073	U26266	M31303	Y08612	U35451	M29696	M13792	M55150	X95735	U50136	M16038	U82759	M23197	M84526	Y12670	M27891	X17042	Y00787	M96326	U46751	M80254	L08246	M62762	M28130	M63138	M57710	M69043	M81695	X85116	M19045	M83652	X04085
sample_3	ALL	4543.0	7724.0	628.0	4926.0	547.0	2221.0	1452.0	804.0	597.0	2723.0	2089.0	3118.0	91.0	230.0	1547.0	753.0	3556.0	2761.0	1441.0	447.0	7247.0	214.0	912.0	1952.0	16529.0	1286.0	309.0	1398.0	108.0	667.0	309.0	-395.0	574.0	254.0	416.0	301.0	1268.0	1496.0	-53.0	485.0	609.0	-25.0	2789.0	-26.0	2281.0	810.0	-18.0	2997.0	-208.0	823.0	3
sample_4	ALL	5467.0	3821.0	5314.0	5403.0	472.0	1051.0	654.0	452.0	1644.0	731.0	1625.0	4261.0	403.0	314.0	831.0	743.0	828.0	1486.0	680.0	424.0	3780.0	432.0	304.0	6127.0	5364.0	915.0	693.0	942.0	873.0	410.0	288.0	-367.0	716.0	-304.0	392.0	241.0	882.0	1401.0	-111.0	740.0	935.0	-2.0	1132.0	22.0	2178.0	599.0	199.0	1331.0	34.0	1655.0	3
sample_5	ALL	3469.0	5216.0	5354.0	3440.0	661.0	1370.0	1011.0	476.0	1322.0	649.0	3502.0	3425.0	416.0	632.0	1423.0	626.0	1496.0	2298.0	950.0	364.0	3563.0	596.0	398.0	2547.0	2837.0	732.0	713.0	928.0	686.0	119.0	395.0	290.0	524.0	-86.0	7972.0	93.0	949.0	1894.0	139.0	2453.0	1665.0	138.0	1269.0	244.0	1094.0	282.0	334.0	3069.0	218.0	2000.0	3
sample_6	ALL	3309.0	4194.0	282.0	3179.0	337.0	1306.0	1584.0	256.0	787.0	1858.0	316.0	1790.0	46.0	181.0	430.0	1157.0	2606.0	1013.0	1258.0	320.0	4890.0	220.0	506.0	1804.0	16135.0	691.0	247.0	842.0	302.0	147.0	58.0	-40.0	270.0	1168.0	597.0	215.0	910.0	528.0	46.0	375.0	499.0	23.0	1854.0	108.0	1513.0	711.0	117.0	2850.0	401.0	537.0	3
sample_7	ALL	3936.0	5528.0	5146.0	3978.0	309.0	1339.0	578.0	208.0	946.0	280.0	1530.0	3810.0	267.0	213.0	764.0	552.0	473.0	898.0	509.0	381.0	3330.0	196.0	357.0	1129.0	6067.0	853.0	52.0	1066.0	325.0	735.0	84.0	-366.0	463.0	-233.0	403.0	159.0	826.0	1747.0	-77.0	961.0	764.0	107.0	2735.0	-45.0	2866.0	556.0	378.0	1201.0	255.0	6133.0	3
sample_8	ALL	4745.0	2073.0	4048.0	3293.0	263.0	655.0	1024.0	310.0	1917.0	1716.0	1042.0	6153.0	314.0	227.0	752.0	572.0	2067.0	1586.0	331.0	53.0	4213.0	436.0	134.0	1412.0	3103.0	1238.0	-215.0	1668.0	244.0	248.0	251.0	-656.0	689.0	-247.0	140.0	455.0	1302.0	1514.0	-214.0	404.0	1323.0	-19.0	1962.0	674.0	2129.0	1281.0	571.0	1947.0	-100.0	775.0	3
sample_9	ALL	4081.0	7782.0	423.0	7324.0	978.0	3593.0	1297.0	640.0	1440.0	2388.0	2286.0	3303.0	210.0	362.0	1777.0	1776.0	4461.0	2334.0	1974.0	869.0	7230.0	513.0	982.0	5817.0	15235.0	822.0	-223.0	966.0	273.0	258.0	155.0	-231.0	262.0	336.0	848.0	445.0	1337.0	803.0	94.0	783.0	1741.0	104.0	2900.0	103.0	3862.0	746.0	-8.0	2629.0	521.0	633.0	3
sample_10	ALL	1658.0	5204.0	585.0	2676.0	752.0	1058.0	971.0	152.0	442.0	913.0	934.0	1329.0	97.0	47.0	426.0	756.0	1777.0	878.0	664.0	403.0	5052.0	114.0	613.0	769.0	8982.0	885.0	492.0	1175.0	144.0	409.0	167.0	-36.0	167.0	498.0	1094.0	522.0	82.0	1939.0	45.0	1288.0	1188.0	-35.0	1855.0	252.0	1974.0	513.0	176.0	2148.0	-169.0	463.0	3
sample_11	ALL	2853.0	6541.0	147.0	6134.0	897.0	953.0	1913.0	441.0	617.0	2147.0	282.0	2525.0	27.0	225.0	472.0	1972.0	2744.0	2016.0	884.0	526.0	3352.0	492.0	745.0	1704.0	8630.0	680.0	-25.0	626.0	34.0	306.0	140.0	-152.0	174.0	-376.0	1343.0	1278.0	737.0	587.0	40.0	733.0	1870.0	189.0	1471.0	9.0	2561.0	461.0	139.0	969.0	-276.0	628.0	3
sample_13	ALL	4746.0	7743.0	5075.0	10669.0	668.0	1624.0	1593.0	545.0	1969.0	556.0	2069.0	6216.0	588.0	495.0	920.0	1322.0	3578.0	2151.0	1991.0	673.0	4751.0	393.0	810.0	1515.0	4765.0	548.0	724.0	706.0	281.0	87.0	152.0	-104.0	201.0	-97.0	2408.0	116.0	160.0	1489.0	70.0	1405.0	1482.0	3.0	786.0	-42.0	3602.0	315.0	182.0	210.0	4.0	1220.0	3
sample_14	ALL	1534.0	1756.0	155.0	1912.0	265.0	2050.0	1011.0	570.0	686.0	1483.0	1613.0	3382.0	307.0	442.0	606.0	732.0	1706.0	2263.0	1062.0	308.0	2346.0	416.0	404.0	3854.0	3529.0	1157.0	360.0	864.0	589.0	188.0	145.0	-140.0	180.0	820.0	2525.0	94.0	838.0	1784.0	136.0	742.0	892.0	9.0	2337.0	389.0	1204.0	1030.0	452.0	3633.0	493.0	662.0	3
sample_15	ALL	5311.0	7288.0	5767.0	9211.0	898.0	1995.0	1763.0	571.0	2572.0	1505.0	2952.0	5831.0	747.0	522.0	1417.0	1636.0	2041.0	2901.0	1030.0	929.0	3347.0	651.0	547.0	4436.0	9000.0	387.0	938.0	515.0	854.0	99.0	81.0	-198.0	625.0	76.0	2133.0	29.0	520.0	2286.0	135.0	1718.0	1306.0	91.0	2035.0	-46.0	2859.0	333.0	304.0	735.0	114.0	1990.0	3
sample_16	ALL	4326.0	6084.0	3649.0	3345.0	666.0	1625.0	2065.0	235.0	1439.0	904.0	3110.0	5617.0	393.0	467.0	869.0	2076.0	3847.0	2523.0	675.0	698.0	3207.0	278.0	72.0	2206.0	10227.0	707.0	848.0	825.0	289.0	67.0	202.0	-102.0	330.0	36.0	1232.0	38.0	478.0	944.0	18.0	623.0	593.0	73.0	1910.0	-48.0	1259.0	426.0	540.0	637.0	-91.0	1143.0	3
sample_17	ALL	7155.0	2455.0	218.0	2360.0	374.0	3139.0	1778.0	352.0	989.0	643.0	2591.0	3714.0	822.0	485.0	2031.0	917.0	8578.0	3297.0	1731.0	1060.0	6633.0	623.0	665.0	754.0	8469.0	1822.0	926.0	1837.0	534.0	-226.0	286.0	-158.0	784.0	375.0	1150.0	282.0	7.0	1888.0	184.0	1016.0	2376.0	17.0	4215.0	-83.0	2689.0	588.0	1263.0	973.0	78.0	2474.0	3
sample_18	ALL	1178.0	1273.0	3339.0	1316.0	516.0	882.0	764.0	-65.0	1186.0	669.0	820.0	1616.0	515.0	472.0	954.0	453.0	111.0	954.0	762.0	358.0	2143.0	198.0	726.0	27.0	2091.0	738.0	390.0	883.0	540.0	102.0	141.0	-76.0	314.0	22.0	1232.0	136.0	-144.0	2111.0	10.0	1198.0	542.0	41.0	711.0	944.0	2753.0	666.0	203.0	1263.0	-163.0	220.0	0
sample_19	ALL	3427.0	6482.0	2696.0	2492.0	473.0	1459.0	1448.0	84.0	1224.0	1137.0	1116.0	4692.0	339.0	156.0	532.0	1660.0	576.0	1146.0	800.0	310.0	2291.0	251.0	95.0	473.0	2273.0	907.0	615.0	1309.0	44.0	432.0	155.0	-108.0	146.0	-180.0	1519.0	-53.0	45.0	1983.0	-38.0	1010.0	809.0	16.0	1346.0	343.0	815.0	250.0	1074.0	694.0	-196.0	1271.0	3
sample_20	ALL	6870.0	7629.0	8148.0	6464.0	1487.0	4253.0	2191.0	867.0	4555.0	3810.0	5908.0	11241.0	748.0	629.0	3192.0	2174.0	5796.0	4700.0	1158.0	1047.0	5933.0	847.0	767.0	4409.0	12217.0	860.0	827.0	817.0	616.0	359.0	180.0	-58.0	636.0	205.0	180.0	119.0	-862.0	2731.0	17.0	1969.0	2475.0	242.0	2273.0	950.0	2233.0	284.0	1071.0	888.0	-345.0	4004.0	3
sample_21	ALL	9177.0	5746.0	2805.0	524.0	688.0	768.0	768.0	323.0	2707.0	1631.0	1143.0	9114.0	201.0	256.0	896.0	3707.0	-11.0	2914.0	1185.0	-67.0	2306.0	689.0	600.0	1536.0	2973.0	92.0	68.0	383.0	447.0	149.0	139.0	-151.0	371.0	-124.0	1912.0	118.0	343.0	1962.0	34.0	1377.0	1514.0	184.0	545.0	64.0	5193.0	137.0	675.0	447.0	82.0	1781.0	3
sample_22	ALL	4836.0	699.0	5397.0	3253.0	143.0	176.0	1323.0	241.0	274.0	857.0	108.0	2572.0	48.0	104.0	70.0	295.0	1628.0	1000.0	141.0	-44.0	2131.0	290.0	247.0	678.0	1743.0	686.0	122.0	825.0	239.0	160.0	124.0	-243.0	180.0	-102.0	354.0	206.0	678.0	1739.0	-23.0	791.0	1977.0	155.0	949.0	88.0	1026.0	401.0	177.0	527.0	-175.0	350.0	3
sample_23	ALL	3085.0	2443.0	870.0	3796.0	376.0	862.0	1992.0	493.0	590.0	813.0	146.0	1601.0	-36.0	172.0	321.0	1377.0	1962.0	1122.0	767.0	395.0	4677.0	199.0	442.0	2103.0	12805.0	803.0	-108.0	731.0	9.0	366.0	108.0	-275.0	780.0	425.0	178.0	146.0	1177.0	585.0	30.0	596.0	672.0	148.0	1297.0	-85.0	740.0	613.0	417.0	1820.0	121.0	431.0	3
sample_24	ALL	5815.0	3840.0	5955.0	4093.0	531.0	1409.0	1210.0	502.0	1823.0	899.0	2457.0	6110.0	598.0	494.0	992.0	1456.0	1306.0	2298.0	1145.0	651.0	3182.0	569.0	621.0	1478.0	5981.0	803.0	222.0	899.0	515.0	770.0	102.0	-263.0	655.0	-205.0	1687.0	185.0	734.0	1571.0	209.0	868.0	1235.0	-146.0	1343.0	-96.0	2785.0	513.0	300.0	71.0	-183.0	3970.0	3
sample_26	ALL	3265.0	3262.0	8219.0	5204.0	647.0	716.0	2143.0	101.0	1909.0	759.0	1480.0	3074.0	169.0	348.0	636.0	1982.0	2452.0	753.0	700.0	190.0	2648.0	424.0	96.0	2281.0	3323.0	514.0	433.0	805.0	268.0	59.0	128.0	-53.0	190.0	66.0	1750.0	183.0	29.0	1437.0	19.0	827.0	1114.0	29.0	1330.0	43.0	2381.0	416.0	342.0	304.0	-65.0	773.0	3
sample_27	ALL	2877.0	1810.0	4184.0	2581.0	145.0	500.0	1245.0	20.0	1076.0	899.0	1283.0	5374.0	104.0	217.0	419.0	949.0	760.0	672.0	456.0	201.0	2818.0	517.0	291.0	503.0	2617.0	561.0	-674.0	1286.0	483.0	-187.0	84.0	-398.0	273.0	34.0	291.0	150.0	176.0	990.0	-100.0	190.0	-9.0	-233.0	2127.0	-269.0	569.0	430.0	7.0	2331.0	-239.0	115.0	3
